DATE,ACTIVE,28d TESTS,UNKN,VAR,NET,LGA,Year,Date
26 Jul,760,FALSE,175,NA,2,Fairfield,2021,2021-07-26
25 Jul,742,FALSE,173,NA,0,Fairfield,2021,2021-07-25
24 Jul,709,FALSE,173,NA,13,Fairfield,2021,2021-07-24
23 Jul,677,FALSE,160,NA,6,Fairfield,2021,2021-07-23
22 Jul,646,FALSE,154,NA,14,Fairfield,2021,2021-07-22
21 Jul,615,FALSE,140,NA,14,Fairfield,2021,2021-07-21
20 Jul,577,FALSE,126,NA,4,Fairfield,2021,2021-07-20
19 Jul,542,FALSE,122,NA,0,Fairfield,2021,2021-07-19
18 Jul,496,FALSE,122,NA,17,Fairfield,2021,2021-07-18
17 Jul,426,FALSE,105,NA,22,Fairfield,2021,2021-07-17
16 Jul,368,FALSE,83,NA,11,Fairfield,2021,2021-07-16
15 Jul,319,FALSE,72,NA,2,Fairfield,2021,2021-07-15
14 Jul,279,FALSE,69,NA,7,Fairfield,2021,2021-07-14
13 Jul,228,FALSE,62,NA,6,Fairfield,2021,2021-07-13
12 Jul,175,FALSE,56,NA,33,Fairfield,2021,2021-07-12
11 Jul,105,FALSE,23,NA,10,Fairfield,2021,2021-07-11
10 Jul,63,FALSE,13,NA,4,Fairfield,2021,2021-07-10
09 Jul,43,FALSE,9,NA,2,Fairfield,2021,2021-07-09
08 Jul,37,FALSE,7,NA,3,Fairfield,2021,2021-07-08
07 Jul,25,FALSE,4,NA,1,Fairfield,2021,2021-07-07
06 Jul,16,FALSE,3,NA,1,Fairfield,2021,2021-07-06
05 Jul,14,FALSE,2,NA,-1,Fairfield,2021,2021-07-05
04 Jul,13,FALSE,3,NA,-,Fairfield,2021,2021-07-04
02 Jul,6,FALSE,1,NA,1,Fairfield,2021,2021-07-02
01 Jul,2,FALSE,0,NA,0,Fairfield,2021,2021-07-01
30 Jun,2,FALSE,0,NA,0,Fairfield,2021,2021-06-30
29 Jun,2,FALSE,0,NA,0,Fairfield,2021,2021-06-29
28 Jun,2,FALSE,0,NA,0,Fairfield,2021,2021-06-28
27 Jun,2,FALSE,0,NA,0,Fairfield,2021,2021-06-27
26 Jun,0,FALSE,0,NA,0,Fairfield,2021,2021-06-26
25 Jun,0,FALSE,0,NA,0,Fairfield,2021,2021-06-25
24 Jun,0,FALSE,0,NA,0,Fairfield,2021,2021-06-24
23 Jun,0,FALSE,0,NA,0,Fairfield,2021,2021-06-23
22 Jun,0,FALSE,0,NA,0,Fairfield,2021,2021-06-22
21 Jun,0,FALSE,0,NA,0,Fairfield,2021,2021-06-21
20 Jun,0,FALSE,0,NA,0,Fairfield,2021,2021-06-20
19 Jun,0,FALSE,0,NA,0,Fairfield,2021,2021-06-19
18 Jun,0,FALSE,0,NA,0,Fairfield,2021,2021-06-18
17 Jun,0,FALSE,0,NA,0,Fairfield,2021,2021-06-17
16 Jun,0,FALSE,0,NA,0,Fairfield,2021,2021-06-16
15 Jun,0,FALSE,0,NA,0,Fairfield,2021,2021-06-15
14 Jun,0,FALSE,0,NA,0,Fairfield,2021,2021-06-14
13 Jun,0,FALSE,0,NA,0,Fairfield,2021,2021-06-13
12 Jun,0,FALSE,0,NA,0,Fairfield,2021,2021-06-12
11 Jun,0,FALSE,0,NA,0,Fairfield,2021,2021-06-11
10 Jun,0,FALSE,0,NA,0,Fairfield,2021,2021-06-10
09 Jun,0,FALSE,0,NA,0,Fairfield,2021,2021-06-09
08 Jun,0,FALSE,0,NA,0,Fairfield,2021,2021-06-08
07 Jun,0,FALSE,0,NA,0,Fairfield,2021,2021-06-07
06 Jun,0,FALSE,0,NA,0,Fairfield,2021,2021-06-06
05 Jun,0,FALSE,0,NA,0,Fairfield,2021,2021-06-05
04 Jun,0,FALSE,0,NA,0,Fairfield,2021,2021-06-04
03 Jun,0,FALSE,0,NA,0,Fairfield,2021,2021-06-03
02 Jun,0,FALSE,0,NA,0,Fairfield,2021,2021-06-02
01 Jun,0,FALSE,0,NA,0,Fairfield,2021,2021-06-01
31 May,0,FALSE,0,NA,0,Fairfield,2021,2021-05-31
30 May,0,FALSE,0,NA,0,Fairfield,2021,2021-05-30
29 May,0,FALSE,0,NA,0,Fairfield,2021,2021-05-29
28 May,0,FALSE,0,NA,0,Fairfield,2021,2021-05-28
27 May,0,FALSE,0,NA,0,Fairfield,2021,2021-05-27
26 May,0,FALSE,0,NA,0,Fairfield,2021,2021-05-26
25 May,0,FALSE,0,NA,0,Fairfield,2021,2021-05-25
24 May,0,FALSE,0,NA,0,Fairfield,2021,2021-05-24
23 May,0,FALSE,0,NA,0,Fairfield,2021,2021-05-23
22 May,0,FALSE,0,NA,0,Fairfield,2021,2021-05-22
21 May,0,FALSE,0,NA,0,Fairfield,2021,2021-05-21
20 May,0,FALSE,0,NA,0,Fairfield,2021,2021-05-20
19 May,0,FALSE,0,NA,0,Fairfield,2021,2021-05-19
18 May,0,FALSE,0,NA,0,Fairfield,2021,2021-05-18
17 May,0,FALSE,0,NA,0,Fairfield,2021,2021-05-17
16 May,0,FALSE,0,NA,0,Fairfield,2021,2021-05-16
15 May,0,FALSE,0,NA,0,Fairfield,2021,2021-05-15
14 May,0,FALSE,0,NA,0,Fairfield,2021,2021-05-14
13 May,0,FALSE,0,NA,0,Fairfield,2021,2021-05-13
12 May,0,FALSE,0,NA,0,Fairfield,2021,2021-05-12
11 May,0,FALSE,0,NA,0,Fairfield,2021,2021-05-11
10 May,0,FALSE,0,NA,0,Fairfield,2021,2021-05-10
09 May,0,FALSE,0,NA,0,Fairfield,2021,2021-05-09
08 May,0,FALSE,0,NA,0,Fairfield,2021,2021-05-08
07 May,0,FALSE,0,NA,0,Fairfield,2021,2021-05-07
06 May,0,FALSE,0,NA,0,Fairfield,2021,2021-05-06
05 May,0,FALSE,0,NA,0,Fairfield,2021,2021-05-05
04 May,0,FALSE,0,NA,0,Fairfield,2021,2021-05-04
03 May,0,FALSE,0,NA,0,Fairfield,2021,2021-05-03
02 May,0,FALSE,0,NA,0,Fairfield,2021,2021-05-02
01 May,0,FALSE,0,NA,0,Fairfield,2021,2021-05-01
30 Apr,0,FALSE,0,NA,0,Fairfield,2021,2021-04-30
29 Apr,0,FALSE,0,NA,0,Fairfield,2021,2021-04-29
28 Apr,0,FALSE,0,NA,0,Fairfield,2021,2021-04-28
27 Apr,0,FALSE,0,NA,0,Fairfield,2021,2021-04-27
26 Apr,0,FALSE,0,NA,0,Fairfield,2021,2021-04-26
25 Apr,0,FALSE,0,NA,0,Fairfield,2021,2021-04-25
24 Apr,0,FALSE,0,NA,0,Fairfield,2021,2021-04-24
23 Apr,0,FALSE,0,NA,0,Fairfield,2021,2021-04-23
22 Apr,0,FALSE,0,NA,0,Fairfield,2021,2021-04-22
21 Apr,0,FALSE,0,NA,0,Fairfield,2021,2021-04-21
20 Apr,0,FALSE,0,NA,0,Fairfield,2021,2021-04-20
19 Apr,0,FALSE,0,NA,0,Fairfield,2021,2021-04-19
18 Apr,0,FALSE,0,NA,0,Fairfield,2021,2021-04-18
17 Apr,0,FALSE,0,NA,0,Fairfield,2021,2021-04-17
16 Apr,0,FALSE,0,NA,0,Fairfield,2021,2021-04-16
15 Apr,0,FALSE,0,NA,0,Fairfield,2021,2021-04-15
14 Apr,0,FALSE,0,NA,0,Fairfield,2021,2021-04-14
13 Apr,0,FALSE,0,NA,0,Fairfield,2021,2021-04-13
12 Apr,0,FALSE,0,NA,0,Fairfield,2021,2021-04-12
11 Apr,0,FALSE,0,NA,0,Fairfield,2021,2021-04-11
10 Apr,0,FALSE,0,NA,0,Fairfield,2021,2021-04-10
09 Apr,0,FALSE,0,NA,0,Fairfield,2021,2021-04-09
08 Apr,0,FALSE,0,NA,0,Fairfield,2021,2021-04-08
07 Apr,0,FALSE,0,NA,0,Fairfield,2021,2021-04-07
06 Apr,0,FALSE,0,NA,0,Fairfield,2021,2021-04-06
05 Apr,0,FALSE,0,NA,0,Fairfield,2021,2021-04-05
04 Apr,0,FALSE,0,NA,0,Fairfield,2021,2021-04-04
03 Apr,0,FALSE,0,NA,0,Fairfield,2021,2021-04-03
02 Apr,0,FALSE,0,NA,0,Fairfield,2021,2021-04-02
01 Apr,0,FALSE,0,NA,0,Fairfield,2021,2021-04-01
31 Mar,0,FALSE,0,NA,0,Fairfield,2021,2021-03-31
30 Mar,0,FALSE,0,NA,0,Fairfield,2021,2021-03-30
29 Mar,0,FALSE,0,NA,0,Fairfield,2021,2021-03-29
28 Mar,0,FALSE,0,NA,0,Fairfield,2021,2021-03-28
27 Mar,0,FALSE,0,NA,0,Fairfield,2021,2021-03-27
26 Mar,0,FALSE,0,NA,0,Fairfield,2021,2021-03-26
25 Mar,0,FALSE,0,NA,0,Fairfield,2021,2021-03-25
24 Mar,0,FALSE,0,NA,0,Fairfield,2021,2021-03-24
23 Mar,0,FALSE,0,NA,0,Fairfield,2021,2021-03-23
22 Mar,0,FALSE,0,NA,0,Fairfield,2021,2021-03-22
21 Mar,0,FALSE,0,NA,0,Fairfield,2021,2021-03-21
20 Mar,0,FALSE,0,NA,0,Fairfield,2021,2021-03-20
19 Mar,0,FALSE,0,NA,0,Fairfield,2021,2021-03-19
18 Mar,0,FALSE,0,NA,0,Fairfield,2021,2021-03-18
17 Mar,0,FALSE,0,NA,0,Fairfield,2021,2021-03-17
16 Mar,0,FALSE,0,NA,0,Fairfield,2021,2021-03-16
15 Mar,0,FALSE,0,NA,0,Fairfield,2021,2021-03-15
14 Mar,0,FALSE,0,NA,0,Fairfield,2021,2021-03-14
13 Mar,0,FALSE,0,NA,0,Fairfield,2021,2021-03-13
12 Mar,0,FALSE,0,NA,0,Fairfield,2021,2021-03-12
11 Mar,0,FALSE,0,NA,0,Fairfield,2021,2021-03-11
10 Mar,0,FALSE,0,NA,0,Fairfield,2021,2021-03-10
09 Mar,0,FALSE,0,NA,0,Fairfield,2021,2021-03-09
08 Mar,0,FALSE,0,NA,0,Fairfield,2021,2021-03-08
07 Mar,0,FALSE,0,NA,0,Fairfield,2021,2021-03-07
06 Mar,0,FALSE,0,NA,0,Fairfield,2021,2021-03-06
05 Mar,0,FALSE,0,NA,0,Fairfield,2021,2021-03-05
04 Mar,0,FALSE,0,NA,0,Fairfield,2021,2021-03-04
03 Mar,0,FALSE,0,NA,0,Fairfield,2021,2021-03-03
02 Mar,0,FALSE,0,NA,0,Fairfield,2021,2021-03-02
01 Mar,0,FALSE,0,NA,0,Fairfield,2021,2021-03-01
